model,dataset,k,cv,purity,nmi,td,seed,runtime_seconds,status,error,evaluation_protocol,top_n,cv_source,td_definition,assignment_source,topic_source
sbert_minilm,20ng,50,,0.5661148254271463,0.48014775775432594,0.12933333333333333,42,105.627,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
sbert_minilm,20ng,100,,0.5880292900350207,0.4617986544848813,0.14933333333333335,42,123.66,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
sbert_minilm,imdb,50,0.4527564,0.6536,0.03576117653646202,0.036,42,164.318,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
sbert_minilm,imdb,100,0.4583889,0.67312,0.035913600680511595,0.030666666666666665,42,211.579,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
sbert_minilm,agnews_short,50,0.4673844,0.855375,0.35925728030308274,0.8453333333333334,42,84.051,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
sbert_minilm,agnews_short,100,0.4697019,0.85825,0.32937332581538914,0.7746666666666666,42,135.283,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
sbert_minilm,search_snippets,50,0.4538606,0.8397893030794166,0.4835034117670396,0.8413333333333334,42,94.166,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
sbert_minilm,search_snippets,100,0.4419637,0.863776337115073,0.46557463650650777,0.7893333333333333,42,154.258,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
sbert_minilm,stack_overflow,50,0.44669559999999997,0.743,0.6276654888976732,0.376,42,72.104,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
sbert_minilm,stack_overflow,100,0.4390864,0.7584,0.5836801640182575,0.404,42,129.912,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
sbert_minilm,biomedical,50,0.5516422,0.5507,0.4246414523939157,0.452,42,69.144,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
sbert_minilm,biomedical,100,0.5439849,0.54515,0.3976923383278887,0.4533333333333333,42,108.806,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
